ID,date,Site,context,perch,bodytemp.C,perch.temp.C,ambient.temp.C,humidity.percent,perch.height.cm,perch.diam.cm,weight.g,head.height.mm,svl.mm,local.time.decimal,flags,JL,JW,METC,RAD,ULN,HUM,FEM,TIB,FIB,METT1,METT2,FL,HL
KMW_046,2012_06_14,San Juan,natural,tree,31.3,28,31.7,60.4,197,3.4,9.9,9.9,72,10,,18.05315627,12.21163579,3.788391064,9.3118962,9.977354597,12.57713673,17.76381755,14.9763925,14.74159464,5.270635124,8.725769972,26.34288239,46.73661514
KMW_047,2012_06_14,San Juan,natural,tree,NA,27,31.7,62.6,125,6.5,10.5,10,72,10,,18.55054921,12.82934023,3.896464822,9.63591749,10.81928481,13.77739482,17.72292919,15.02148128,15.08923154,5.925753888,8.937634008,28.49314445,47.60779837
KMW_048,2012_06_14,San Juan,natural,tree,32.4,27,30.9,63.2,159,2.9,8,9.5,70,10.5,,18.13674212,12.105115,3.748946964,9.509490325,11.29740934,13.85645313,17.9655583,15.68025122,15.48939582,6.303395084,9.256708675,28.90280944,49.20591328
KMW_049,2012_06_14,San Juan,natural,tree,NA,28,31.1,62.2,61,9.9,9.1,9.7,71,10.5,,18.35006485,12.40458477,4.14967376,9.753912933,11.52693047,14.26741769,19.16409851,16.8417341,16.4473204,6.115374226,9.630353197,29.94402192,51.75156004
KMW_050,2012_06_14,San Juan,natural,tree,31.8,27,30.7,61.1,190,11.3,9.2,9.7,70,11,,18.79180123,12.56325298,4.026903143,9.762550002,11.07635519,13.29097769,17.95499406,15.6808566,15.49407142,5.73292468,8.922774378,28.39423602,48.29154972
KMW_051,2012_06_14,San Juan,natural,tree,28.8,27,30.6,60.7,50,21.1,10.5,10.4,71,11,,19.02496833,12.8430543,3.455472317,9.237836567,10.16822323,13.49817073,18.64275888,15.5460574,15.36981784,5.511364671,8.862869691,27.12186627,48.56305065
KMW_052,2012_06_14,San Juan,natural,tree,30.4,29,32.4,59.3,113,7.2,10.7,10.5,73,11.5,,,,,,,,,,,,,,
KMW_053,2012_06_14,San Juan,natural,tree,33.2,29,32.2,59.4,155,6.5,7.9,9.5,64,11.5,,17.14295803,11.62703671,3.439580099,9.214663808,10.38081574,12.81306903,16.5710301,14.50591941,14.32907983,5.406446094,8.237616283,26.63346486,44.72101188
KMW_054,2012_06_14,San Juan,natural,tree,31.3,28,30.9,58.2,45,6.2,10.4,10.2,71,12,,18.87258874,13.10234727,3.792465515,9.553992056,10.96846764,13.94629355,18.37834315,15.54126694,15.26872125,5.657849275,9.324081878,28.70722671,48.90154124
KMW_055,2012_06_14,San Juan,natural,tree,29.5,28,31.8,60.9,152,3.4,8.8,9.4,68,12,,19.40890139,12.13701815,3.891794793,9.796613802,11.13897639,13.71150104,18.4085853,15.4206186,15.10010681,5.647328616,9.295814156,28.74227222,48.77234667
KMW_056,2012_06_15,San Juan,urban,tree,31.8,30,32.6,45.1,184,8.9,10,9.8,71,11.43,,17.69291837,12.01616007,4.163959592,9.216458099,10.65860148,12.95583763,17.51943439,15.13098705,14.84495768,5.365842083,9.106867464,27.77839871,47.12313099
KMW_057,2012_06_15,San Juan,urban,tree,32.1,31,32.6,44.3,180,22.1,5.7,8.4,60,11.63,,15.9295884,9.979644506,3.535750652,8.582633434,9.903360092,11.4974299,15.76835437,13.11121665,12.94569353,5.107067689,8.156115993,24.93654064,42.1427547
KMW_058,2012_06_15,San Juan,urban,metal gate,33.3,31,34.1,42.3,145,1.5,8.9,9.7,64,11.93,,17.28715099,12.0608747,3.712130113,9.250211283,10.23237599,12.30133143,16.28509648,14.53049421,14.28652588,5.279330022,8.659496933,26.24583752,44.75441764
KMW_059,2012_06_15,San Juan,urban,tree,34.6,32,35.6,39.3,140,5.5,8.6,9.7,66,12.48,,16.87822051,11.66928189,3.521231867,9.048834304,10.19878908,12.300187,16.3057434,14.137329,14.02336506,5.452296481,8.054504945,26.02020795,43.94987382
KMW_060,2012_06_15,San Juan,urban,tree,31.9,31,33.3,39.7,236,21.1,6.6,8.8,66,12.48,,17.35364663,12.13122744,3.625935808,9.255215142,10.6572767,12.90597557,17.41154762,14.6959974,14.79525666,4.996391427,9.138286262,27.18918808,46.24222271
KMW_061,2012_06_15,San Juan,urban,tree,33.8,31,33.3,37.6,96,25.3,7.4,8.8,61,16.55,,16.65984055,11.21640369,3.532260843,8.448700173,9.489970938,11.79727389,15.8516084,13.63317576,13.36210208,4.843543549,8.043357904,24.81950567,42.3716856
KMW_062,2012_06_15,San Juan,urban,metal fence,33.9,31,33,39.3,104,9.7,5.4,9.3,64,16.72,,17.87426232,11.31245627,4.105402499,9.041488441,10.43440611,12.73253604,16.52306477,14.07906077,14.04631059,5.466757412,9.212049684,27.27234466,45.28093263
KMW_063,2012_06_15,San Juan,urban,tree,32.3,33,34.1,40.1,125,12,6.5,8.9,65,17.18,,17.10906152,11.09195038,3.710775002,8.853705714,10.4767174,12.82137517,17.56481346,14.75227135,14.50372236,6.027159003,9.023267805,27.00886758,47.36751163
KMW_064,2012_06_15,San Juan,urban,metal gate,34.4,33,33.1,37.1,31,4.9,8,9.4,65,17.37,,16.81470453,10.92881973,3.830471372,9.081795486,10.30670479,12.32157807,16.71503843,14.67755392,14.42729749,5.645797947,9.039770765,26.45875423,46.07816106
KMW_065,2012_06_16,San Juan,urban,tree,30.8,33,34.1,52.9,102,18.4,7.2,8.9,66,8.28,,17.17190914,11.7231908,3.785001416,9.254247734,10.38871474,12.59833314,17.36589045,14.73644567,14.57453417,5.601878311,8.980693026,26.7720493,46.68490745
KMW_066,2012_06_16,San Juan,urban,metal fence,31,29,31.9,54.8,95,3.3,7.2,9.1,64,8.4,,16.30088788,11.02521224,3.648963201,8.757102523,10.08912647,12.59391052,16.75660307,14.46786398,14.22213379,5.678325064,8.82624388,26.33200019,45.72903599
KMW_067,2012_06_16,San Juan,urban,tree,34.3,31,31.3,45.4,45,35,6.5,8.9,63,8.47,,16.66582459,10.80327627,3.333515567,8.772073491,9.953412061,12.06977155,16.04622188,14.10592078,13.8931882,5.292077937,8.457459663,25.35669918,43.90168026
KMW_068,2012_06_16,San Juan,urban,metal fence,31.9,26,30.6,51.7,170,4.9,6.4,9.3,60,8.82,,16.13135516,10.25304127,3.638417043,8.309170564,9.547188996,11.70487963,15.8392182,13.74081296,13.61477682,5.737097473,8.421751368,24.89048567,43.73888
KMW_069,2012_06_16,San Juan,urban,metal fence,32.1,27,30.9,52.1,151,2.1,11.7,10.6,72,8.93,,18.8787385,13.24385296,4.234698993,9.548380611,10.98464598,13.49350138,18.46837003,15.50391674,15.17189682,6.186148286,9.778135871,28.71284636,49.93657093
KMW_070,2012_06_16,San Juan,urban,tree,30.2,27,30.8,52.7,122,10,9.3,9.5,67,9.07,,17.06735717,11.81249424,3.352499686,8.485894137,9.838614178,12.79992896,16.63251126,14.05041335,14.07202718,5.552598151,8.522738143,25.99104282,44.7582609
KMW_071,2012_06_16,San Juan,urban,ground,33.2,28,31.9,44.6,0,wall,7.3,9.6,62,9.22,ground,17.34261916,11.87193404,3.409036109,8.494180715,9.548589643,12.00226581,15.80419338,13.54753955,13.37358186,5.168295468,8.250965827,24.95989156,42.77099422
KMW_072,2012_06_16,San Juan,urban,tree,33,28,31.7,46.3,131,1,6.6,9.2,62,9.4,,16.13167233,11.16123512,3.455371208,8.353128577,9.771651595,11.73506523,15.93666998,13.57396092,13.26433834,5.268386824,7.979493897,24.96208803,42.75851162
KMW_073,2012_06_16,San Juan,urban,tree,31.5,28,31.9,48.1,340,22,5.5,8.8,61,9.45,,16.43611934,10.43181122,3.332049477,8.473717218,9.707457367,12.08383432,16.07697585,13.43295848,13.20041546,5.137319338,8.279577977,25.12334116,42.92683165
KMW_074,2012_06_16,San Juan,urban,metal gate,34.2,32,32.4,48.9,73,9.8,7,9.2,61,9.65,,16.27352348,10.92358866,3.469591316,8.362438752,9.258681666,11.87688875,15.98166638,13.79446867,13.51302675,6.069802596,8.523205702,24.60516173,44.36914335
KMW_075,2012_06_16,San Juan,urban,tree,33.3,29,32.8,45.8,196,16.1,10.6,10.2,72,9.92,,18.8151171,12.3354724,3.81171624,9.709012794,11.14827586,13.55596086,17.86015885,15.22233143,15.13803917,5.710197396,9.21106744,28.51595296,48.00375512
KMW_076,2012_06_16,San Juan,urban,behind a sign on a tree,33.1,29,32.9,49.2,154,66.5,5.3,8.9,58,10.32,,15.86561885,10.73312547,3.296763858,8.422400208,9.64056737,11.27250967,15.31518797,13.31508825,13.16609025,5.00780287,8.046014076,24.2098409,41.68409316
KMW_077,2012_06_16,San Juan,urban,inside metal fence post,32.4,29,32.8,50.4,198,3.8,10.1,10.7,67,10.33,,17.6868549,12.68532316,3.558356284,8.662049468,10.2624597,13.01644835,17.47518214,14.61985289,14.3433983,6.04756077,9.030896791,26.83726434,47.17349259
KMW_078,2012_06_16,San Juan,urban,tree,32.6,29,32.1,47.8,207,42.2,7.4,9.8,70,10.57,,17.61090622,12.25872861,3.650081487,8.76054153,9.95193043,12.74632529,16.79183534,14.56293618,14.46292994,5.337074083,8.635008636,26.34833721,45.32685424
KMW_079,2012_06_16,San Juan,urban,tree,33.2,29,32.2,48,35,5.9,11.2,11.7,71,10.65,,18.88783992,12.66790585,3.824502843,9.587266024,10.69676817,13.37641746,18.32100952,15.04778117,14.85866682,5.487930571,9.228722716,27.89768847,48.08544398
KMW_080,2012_06_16,San Juan,urban,tree,32.2,30,33,48,126,17.2,6.2,9.7,64,10.72,,16.50002504,11.35100949,3.660429221,8.969103453,10.34152114,12.60235783,17.32831834,14.40388756,14.25782059,5.677140784,9.034419369,26.60430818,46.44376605
KMW_081,2012_06_16,San Juan,urban,tree,33.1,31,33,48,55,16.3,9.1,10.6,69,10.72,,18.43935036,12.58544818,3.493232305,9.50602702,10.74507888,13.19995703,17.59355936,14.81054957,14.63867582,5.886714949,8.970370842,27.43826821,47.26119472
KMW_082,2012_06_16,San Juan,urban,tree,32.1,27,33.7,45.4,183,54,9.8,10.2,67,11.45,,17.96934802,12.24884381,3.190099787,9.142030367,10.40298521,12.62239528,17.49817128,15.2472457,14.98695418,5.431058757,8.29996364,26.21548028,46.47643937
KMW_083,2012_06_16,San Juan,urban,tree,33.8,31,34.1,45,94,3.3,5.5,9.1,59,11.53,,16.22178835,10.53627397,3.147599227,7.802072903,9.03195493,11.16050606,15.07761502,12.85999172,12.85900578,5.251206115,7.806419269,23.34006021,40.99523212
KMW_084,2012_06_16,San Juan,urban,metal fence,33.7,31,34.8,42.7,121,3.2,9.6,9.7,69,12.1,,17.05845349,12.20486495,3.715965429,9.090146542,10.53182426,12.91877275,17.49534515,14.53126748,14.35842701,4.991149464,9.113488327,27.16656244,46.13125043
KMW_085,2012_06_17,San Juan,urban,metal fence,28.2,24,27.5,79.3,223,9.4,7.6,9.8,63,7.55,,16.18156148,10.75273454,3.579986172,8.366987453,9.890203612,11.62913162,15.93855585,13.24949316,13.08178461,5.310259776,8.536385663,25.09932141,43.03469445
KMW_086,2012_06_17,San Juan,urban,metal fence,27.7,26,28.1,80.2,132,3.3,8.6,9.8,65,7.6,,16.43081254,11.36030686,3.647041531,9.175505983,10.23648691,12.49338839,16.51635575,14.37978631,14.2177465,5.247322853,8.239193213,26.37691684,44.38265813
KMW_087,2012_06_17,San Juan,urban,metal fence,30.2,27,28.3,72.6,134,4.9,8.1,9.4,61,8.23,,17.09782265,11.92986897,3.492123793,8.766313135,9.665250097,12.1747904,16.29010993,14.00489141,13.77094431,5.212503119,8.155533147,25.33216429,43.66303761
KMW_088,2012_06_17,San Juan,urban,wood garage,29.8,27,28.2,72,94,8.5,8.6,9.3,67,8.18,,16.83155494,11.69134216,3.583177785,9.588953483,10.66639669,12.76205814,17.70424359,15.27857796,15.18574449,5.458477593,9.34245715,27.01163262,47.78375629
KMW_089,2012_06_17,San Juan,urban,tree,NA,26,28.2,61.9,148,15.9,8.6,9.5,66,8.5,sick,17.0016666,11.80380685,3.609819182,9.373489057,10.42393232,12.8904846,17.10945131,14.37245785,13.94610594,5.87862744,8.341660889,26.92423611,45.70219748
KMW_090,2012_06_17,San Juan,urban,metal fence,30.4,28,28.3,61.9,97,5.1,10,10.3,72,8.52,,18.21012748,12.65121666,3.815999927,9.816041449,10.9583514,13.50897543,18.02134216,15.53635408,15.26680871,6.111571242,9.611855199,28.28332675,49.28112268
KMW_091,2012_06_17,San Juan,urban,metal fence,30.1,29,27.7,65.4,94,5.1,9.5,9.8,71,8.52,,17.65960899,11.99590508,3.805825892,9.541436961,11.17930813,13.50650475,17.90517071,15.16634877,14.97034162,6.452743589,9.575354417,28.49163877,49.09961748
KMW_092,2012_06_17,San Juan,urban,metal fence,32.1,NA,28.6,65.4,NA,NA,8.5,9.8,67,8.57,,18.24887175,11.39024767,3.664044178,9.539247158,10.89070591,13.36916965,17.51578964,14.6166352,14.33454378,5.801496155,8.808712452,27.92391974,46.74263345
KMW_093,2012_06_17,San Juan,urban,tree,30.5,30,28.7,65.7,75,56.1,6.8,9.2,65,9.97,,17.17056279,11.59302832,3.335526971,8.577266391,9.739290355,12.06647833,16.73205504,13.5779038,13.38130572,5.039430383,8.582545457,25.14129566,43.93193468
KMW_094,2012_06_17,San Juan,urban,concrete wall,28.3,24,28.7,65.7,141,wall,5.5,8.5,60,9.95,,15.32409567,9.878005999,3.303436693,8.351870818,9.354119373,11.32148298,15.4144033,13.07231156,12.92535751,4.676059502,8.319273579,23.97903904,41.48204794
